Id,piece_length,piece_width,piece_weight,piece_thikness,Pecies
1,3.8,2.5,1.3,0.12,Pizza-Margreta
2,3.6,2.3,1.3,0.12,Pizza-Margreta
3,3.4,2.2,1.2,0.12,Pizza-Margreta
4,3.3,2.6,1.4,0.12,Pizza-Margreta
5,3.7,3,1.3,0.12,Pizza-Margreta
6,4.1,2.2,1.6,0.32,Pizza-Margreta
7,3.3,2.6,1.3,0.22,Pizza-Margreta
8,3.7,2,1.4,0.12,Pizza-Margreta
9,3.1,2.5,1.3,0.12,Pizza-Margreta
10,3.6,3,1.4,0.02,Pizza-Margreta
11,4.1,2.4,1.4,0.12,Pizza-Margreta
12,3.5,2.4,1.5,0.12,Pizza-Margreta
13,3.5,1.9,1.3,0.02,Pizza-Margreta
14,3,3.4,1,0.02,Pizza-Margreta
15,4.5,3.3,1.1,0.12,Pizza-Margreta
16,4.4,3,1.4,0.32,Pizza-Margreta
17,4.1,2.7,1.2,0.32,Pizza-Margreta
18,3.8,3.3,1.3,0.22,Pizza-Margreta
19,4.4,2.7,1.6,0.22,Pizza-Margreta
20,3.8,3,1.4,0.22,Pizza-Margreta
21,4.1,2.7,1.6,0.12,Pizza-Margreta
22,3.8,2.2,1.4,0.32,Pizza-Margreta
23,3.3,2.7,0.9,0.12,Pizza-Margreta
24,3.8,2.4,1.6,0.42,Pizza-Margreta
25,3.5,2.6,1.8,0.12,Pizza-Margreta
26,3.7,2.6,1.5,0.12,Pizza-Margreta
27,3.7,2.8,1.5,0.32,Pizza-Margreta
28,3.9,2.8,1.4,0.12,Pizza-Margreta
29,3.9,2.3,1.3,0.12,Pizza-Margreta
30,3.4,2.4,1.5,0.12,Pizza-Margreta
31,3.5,3,1.5,0.12,Pizza-Margreta
32,4.1,2.8,1.4,0.32,Pizza-Margreta
33,3.9,3.1,1.4,0.02,Pizza-Margreta
34,4.2,2.5,1.3,0.12,Pizza-Margreta
35,3.6,2.6,1.4,0.02,Pizza-Margreta
36,3.7,3.1,1.1,0.12,Pizza-Margreta
37,4.2,2.5,1.2,0.12,Pizza-Margreta
38,3.6,2,1.4,0.02,Pizza-Margreta
39,3.1,2.7,1.2,0.12,Pizza-Margreta
40,3.8,2.6,1.4,0.12,Pizza-Margreta
41,3.7,2.1,1.2,0.22,Pizza-Margreta
42,3.2,2,1.2,0.22,Pizza-Margreta
43,3.1,2.6,1.2,0.12,Pizza-Margreta
44,3.7,2.7,1.5,0.52,Pizza-Margreta
45,3.8,2.4,1.8,0.32,Pizza-Margreta
46,3.5,2.7,1.3,0.22,Pizza-Margreta
